name,description,notation
"(inapplicable)","Inapplicable or no sample treatment","inapplicable"
"Drying","Sample is dried before analysis","drying"
"Evaporation","Sample is evaporated before analysis","evaporation"
"Freezing","Sample is frozen before analysis","freezing"
"Heating","Sample is heated before analysis","heating"
"Homogenization","Sample is homogenized before analysis","homogenization"
"Melting","Sample is melted before analysis","melting"
"Milling","Sample is milled before analysis","milling"
"Mixing","Sample is mixed before analysis","mixing"
"Sieving","Sample is sieved before analysis","sieving"
"(other)","Other sample treatment","other"
"(unknown)","unknown","unknown"
