WMO306CD_efrs,QualityFlagSysURL_efrs,Path_e,Name_e,Definition_e
barren,,,Barren or sparsely vegetated,NA
closedShrublands,,,Closed shrublands,NA
croplands,,,Croplands,NA
deciduousBroadleafForest,,,Deciduous Broadleaf forest,NA
deciduousNeedleleafForest,,,Deciduous Needleleaf forest,NA
evergreenBroadleafForest,,,Evergreen Broadleaf forest,NA
evergreenNeedleleafForest,,,Evergreen Needleleaf forest,NA
grasslands,,,Grasslands,NA
mixedForest,,,Mixed forest,NA
notApplicable,,,Not applicable,None of the codes in the table are applicable in the context of this particular observation (nilReason).
openShrublands,,,Open shrublands,NA
savannas,,,Savannas,NA
unclassified,,,Unclassified,NA
urbanBuiltup,,,Urban and built-up,NA
water,,,Water,NA
woodySavannas,,,Woody savannas,NA
